N_inventaire,Rue,N_rue,Nom_site,Arrondissement,Ville,Latitude_x,Longitude_y,Support,Couleur,Taille,Date_prise_vue,Photographe,Date_construction,Architecte,Classement_MH,Généralité_architecture,Mot_cle1,Mot_cle2,Mot_cle3,Mot_cle4,Mot_cle5,Mot_cle6,Cote_base,Cote_classement,Date_inventaire
22,"CARROUSEL, PLACE DU",,LE_LOUVRE – PYRAMIDE_DU_LOUVRE,1,PARIS,48.86148,2.33403,TIRAGE PAPIER,N&B,13x18 cm,1986/11/09,INCONNU,1986,,NON,PRIVÉE,CHANTIER,ARCHITECTURE,CONSTRUCTION_EN_COURS,VUE_ENSEMBLE,,,1986-01000-0003318,B401,21/09/2019
23,"PERLE, RUE DE LA",1,HÔTEL_LIBÉRAL_BRUANT,3,PARIS,48.8592,2.36196,TIRAGE PAPIER,N&B,10x15 cm,2003,INCONNU,XVIIè,,OUI,HÔTEL_PARTICULIER,COUR,PORTAIL,EXTÉRIEUR,,,,2006-03000-0001786,B401,21/09/2019
28,"VAUVILLIERS, RUE",12,IMMEUBLE,1,PARIS,48.86171,2.34337,TIRAGE PAPIER,N&B,10x15 cm,2002/11,"BURET, COLETTE",XVIIIè,,NON,PRIVÉE,FAÇADE,ARCHITECTURE,,,,,,B401,28/09/2019
31,"SAINT-HONORÉ, RUE",47,IMMEUBLE,1,PARIS,48.86089,2.3453,TIRAGE PAPIER,COULEUR,10x15 cm,2001,"DAVID, ROMAIN",XVIIIè,,OUI,PRIVÉE,FAÇADE,DÉCORATION_EXTÉRIEURE,FERRONNERIE,MASCARONS,,,2001-01000-0002272,B401,28/09/2019
32,"ORFÈVRES, QUAI DES",,"DAUPHINE, PLACE",1,PARIS,48.85581,2.34252,TIRAGE PAPIER,COULEUR,15X10 cm,2001/02,"LEFEVRE, PHILIPPE",,,OUI,VOIRIES_ESPACES_LIBRES,ARCHITECTURE,SEINE,PLACE,,,,,B401,28/09/2019
33,"RIVOLI, RUE DE",88,,4,PARIS,48.85822,2.3495,TIRAGE PAPIER,N&B,15X10 cm,1993/04,"RAGUENEAU, R.",,,NON,VOIRIES_ESPACES_LIBRES,ARCHITECTURE,FAÇADE,CHANTIER,,,,1993-01000-0000055,B401,28/09/2019
34,"SAINT-HONORÉ, RUE",182,MINISTÈRE_DE_LA_CULTURE,1,PARIS,48.86239,2.3389,TIRAGE PAPIER,N&B,15X10 cm,2003/11,"BURET, COLETTE",2005,Francis Soler,NON,PUBLIQUE,ARCHITECTURE,FAÇADE,DÉCORATION_EXTÉRIEURE,FERRONNERIE,,,1993-01000-00012053,B401,28/09/2019
35,"VICTOIRES, PLACE DES",8,HÔTEL_PELLEE_DE_MONTALEAU,2,PARIS,48.86606,2.34091,TIRAGE PAPIER,COULEUR,15X10 cm,1996/01,"BOUTILLON, A.",1689,,OUI,HÔTEL_PARTICULIER,ARCHITECTURE,FAÇADE,HÔTEL,,,,1996-01000-0001800,B401,28/09/2019
36,"SAINT-HONORÉ, RUE",182,MINISTÈRE_DE_LA_CULTURE,1,PARIS,48.86239,2.3389,TIRAGE PAPIER,N&B,15X10 cm,2003/11,"BURET, COLETTE",2005,Francis Soler,NON,PUBLIQUE,ARCHITECTURE,FAÇADE,DÉCORATION_EXTÉRIEURE,FERRONNERIE,,,2003-01000-0001207,B401,28/09/2019
37,"RIVOLI, RUE DE",59,IMMEUBLE,1,PARIS,48.85923,2.34567,TIRAGE PAPIER,COULEUR,15X10 cm,2000/09,"BOUTET, MARGUERITE",,,NON,PRIVÉE,ART,DÉCORATION_EXTÉRIEURE,,,,,2000-01000-0000046,B401,28/09/2019
38,"CHÂTELET, PLACE DU",,PLACE_DU_CHÂTELET,1,PARIS,48.85761,2.34734,TIRAGE PAPIER,COULEUR,15X10 cm,2001/02,"LEFEVRE, PHILIPPE",,,OUI,VOIRIES_ESPACES_LIBRES,VUE_ENSEMBLE,TOUR,STATUE,PLACE,ARCHITECTURE,,,B401,28/09/2019
40,"SAINT-HONORÉ, RUE",296,EGLISE_SAINT_ROCH,1,PARIS,48.86492,2.33218,TIRAGE PAPIER,COULEUR,15X10 cm,2004/04,"BOUTET, MARGUERITE",XVIIè,,NON,COMMÉMORATIVE_VOTIVE_FUNÉRAIRE,EGLISE,INTÉRIEUR,,,,,,B401,28/09/2019
41,"SAINT-HONORÉ, RUE",182,MINISTÈRE_DE_LA_CULTURE,1,PARIS,48.86239,2.3389,TIRAGE PAPIER,N&B,10x15 cm,2003/05,"BURET, COLETTE",,,NON,PUBLIQUE,CHANTIER,CONSTRUCTION_EN_COURS,EXTÉRIEUR_SUR_RUE,,,,2003-01000-0000053,B401,28/09/2019
42,"MONTPENSIER, RUE DE",11,MAISON_DE_L'ESPINE,1,PARIS,48.86446,2.33652,TIRAGE PAPIER,COULEUR,10x15 cm,1999/10,"LEFEVRE, PHILIPPE",1684,,OUI,PRIVÉE,ARCHITECTURE,BALCON,IMMEUBLE,FERRONNERIE,,,1999-01000-0001729,B401,28/09/2019
43,"MONTPENSIER, RUE DE",13,IMMEUBLE,1,PARIS,48.86457,2.33659,TIRAGE PAPIER,COULEUR,10x15 cm,1999/10,"LEFEVRE, PHILIPPE",,,NON,PRIVÉE,ARCHITECTURE,IMMEUBLE,,,,,1999-01000-0001730,B401,28/09/2019
44,"SAINT-HONORÉ, RUE",97,IMMEUBLE,1,PARIS,48.86131,2.3431,TIRAGE PAPIER,N&B,10x15 cm,2002/11,"BURET, COLETTE",1710,,NON,PRIVÉE,ARCHITECTURE,FAÇADE,FERRONNERIE,,,,2002-01000-0000006,B401,28/09/2019
45,"SAINTE-ANNE, RUE",32,IMMEUBLE,1,PARIS,48.86648,2.3357,TIRAGE PAPIER,COULEUR,10x15 cm,1994/07,"GENEST, MICHEL",,,NON,PRIVÉE,ARCHITECTURE,EXTÉRIEUR_SUR_RUE,FAÇADE,,,,1994-01000-0000034,B401,28/09/2019
46,"SAINT-HONORÉ, RUE",56 - 58,IMMEUBLE,1,PARIS,48.86126,2.34375,TIRAGE PAPIER,COULEUR,H9 x V13,2001/03,"DAVID, ROMAIN",XVIIIè,,OUI,PRIVÉE,ARCHITECTURE,FAÇADE,FERRONNERIE,MASCARONS,,,2001-01000-0002276,B401,28/09/2019
47,"BOURDONNAIS, RUE DES",34,HÔTEL_DE_VILLEROY,1,PARIS,48.860213,2.345386,TIRAGE PAPIER,COULEUR,10x15 cm,2000/09,"BOUTET, MARGUERITE",XVIIè,,OUI,HÔTEL_PARTICULIER,ARCHITECTURE,COUR,PORTAIL,,,,2000-01000-0000036,B401,28/09/2019
48,"SAINT-HONORÉ, RUE",182,MINISTÈRE_DE_LA_CULTURE,1,PARIS,48.86239,2.3389,TIRAGE PAPIER,N&B,10x15 cm,2003/11,"BURET, COLETTE",2005,Francis Soler,NON,PUBLIQUE,ARCHITECTURE,FAÇADE,DÉCORATION_EXTÉRIEURE,EXTÉRIEUR_SUR_RUE,FERRONNERIE,,2003-01000-0001206,B401,28/09/2019
49,"VICTOIRES, PLACE DES",8,HÔTEL_PELLEE_DE_MONTALEAU,2,PARIS,48.86606,2.34091,TIRAGE PAPIER,COULEUR,9x13 cm,1996/01,"BOUTILLON, A.",1689,,OUI,HÔTEL_PARTICULIER,ARCHITECTURE,FAÇADE,HÔTEL,CHANTIER,,,1996-01000-0001799,B401,28/09/2019
50,"VIVIENNE, RUE",19,IMMEUBLE,2,PARIS,48.86848,2.33977,TIRAGE PAPIER,COULEUR,9x13 cm,1996/01,"BOUTILLON, A.",XVIIè,,NON,PRIVÉE,ARCHITECTURE,FAÇADE,IMMEUBLE,CHIEN_ASSIS,,,1998-01000-0000041,B401,28/09/2019
51,"BOURDONNAIS, RUE DES",34,HÔTEL_DE_VILLEROY,1,PARIS,48.860213,2.345386,TIRAGE PAPIER,COULEUR,10x15 cm,2000/09,"BOUTET, MARGUERITE",XVIIè,,OUI,HÔTEL_PARTICULIER,ARCHITECTURE,ESCALIER,,,,,2000-01000-0000037,B401,28/09/2019
54,VAUVILLIERS RUE,12,IMMEUBLE,1,PARIS,48.86171,2.34337,TIRAGE PAPIER,N&B,10x15 cm,2002/11,"BURET, COLETTE",Xxè,,NON,PRIVÉE,FAÇADE,ARCHITECTURE,IMMEUBLE,,,,,B401,28/09/2019
55,"PALAIS, BOULEVARD DU",8,SAINTE_CHAPELLE,1,PARIS,48.85513,2.34531,TIRAGE PAPIER,N&B,10x15 cm,2002/10,"BURET, COLETTE",1241-1248,,OUI,COMMÉMORATIVE_VOTIVE_FUNÉRAIRE,EGLISE,CHAPELLE,FAÇADE,ROSACE,VITRAUX,PILASTRE,2002-01000-0003323,B401,28/09/2019
56,"PROUVAIRES, RUE DES",1,IMMEUBLE,1,PARIS,48.86131,2.344,TIRAGE PAPIER,COULEUR,9x13 cm,2001/03,"DAVID, ROMAIN",1715,,OUI,PRIVÉE,ARCHITECTURE,FAÇADE,FERRONNERIE,BALCON,,,2001-01000-0002410,B401,28/09/2019
57,"RIVOLI, RUE DE",,LE_LOUVRE,1,PARIS,48.86034,2.33569,TIRAGE PAPIER,COULEUR,13x9 cm,1987/07,"LEFEVRE, PHILIPPE",1989,leoh Ming Pei,NON,PRIVÉE,ARCHITECTURE,CHANTIER,CONSTRUCTION_EN_COURS,PYRAMIDE,,,1987-01000-0000893,B401,28/09/2019
58,"SAINT-HONORÉ, RUE",181,IMMEUBLE,1,PARIS,48.86211,2.33916,TIRAGE PAPIER,COULEUR,10x15 cm,1994/07,"GENEST, MICHEL",,,NON,PRIVÉE,ARCHITECTURE,FAÇADE,EXTÉRIEUR_SUR_RUE,,,,1994-01000-0000047,B401,28/09/2019
59,"SAUVAL, RUE",5,IMMEUBLE,1,PARIS,48.86183,2.3424,TIRAGE PAPIER,N&B,10x15 cm,2002/11,"BURET, COLETTE",XVIIIè,,OUI,PRIVÉE,ARCHITECTURE,FAÇADE,FERRONNERIE,,,,2002-01000-0000002,B401,28/09/2019
60,"NEUF, PONT",,PONT_NEUF,1,PARIS,48.85776,2.34171,TIRAGE PAPIER,COULEUR,13x18 cm,2000,INCONNU,1578-1607,,OUI,VOIRIES_ESPACES_LIBRES,AVANT_RESTAURATION,PONT,MASCARONS,ARCHITECTURE,,,2000-01000-0000064,B402,28/09/2019
61,"LOUVRE, PLACE DU",2,EGLISE_SAINT_GERMAIN_L'AUXERROIS,1,PARIS,48.85932,2.34133,TIRAGE PAPIER,COULEUR,9x14 cm,1973/12,"LEFEVRE, PHILIPPE",XIIè,,OUI,COMMÉMORATIVE_VOTIVE_FUNÉRAIRE,EGLISE,ARCHITECTURE,ROSACE,,,,,B402,28/09/2019
62,"BOULOI, RUE DU",2,GALERIE_VÉRO_DODAT,1,PARIS,48.86305,2.33981,TIRAGE PAPIER,COULEUR,10x15 cm,2000/09/05,INCONNU,1826,,NON,PRIVÉE,EXTÉRIEUR_SUR_RUE,FAÇADE,STATUE,PORTAIL,,,,B402,28/09/2019
63,"MOLIÈRE, RUE",25,COUR,1,PARIS,48.86556,2.33651,TIRAGE PAPIER,COULEUR,10x15 cm,1999/10/29,"LEFEVRE, PHILIPPE",,,NON,PRIVÉE,COUR,FENÊTRE,,,,,1999-01000-0000016,B402,28/09/2019
64,"CROIX DES PETITS CHAMPS, RUE",43,HÔTEL_PORTOLIS,1,PARIS,48.86522,2.34071,TIRAGE PAPIER,COULEUR,15x10 cm,2000/09/25,INCONNU,XVIIè,,OUI,HÔTEL_PARTICULIER,BALCON,TOUR,FAÇADE,,,,,B402,28/09/2019
65,"MOLIÈRE, RUE",25,IMMEUBLE,1,PARIS,48.86556,2.33651,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",,,NON,PRIVÉE,FAÇADE,EXTÉRIEUR_SUR_RUE,FENÊTRE,,,,1999-01000-0000014,B402,28/09/2019
66,"MOLIÈRE, RUE",24-26,IMMEUBLE,1,PARIS,48.86541,2.33644,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",XVIIIè,,NON,PRIVÉE,MANSARDE,FAÇADE,EXTÉRIEUR_SUR_RUE,,,,1999-01000-0000015,B402,28/09/2019
67,"MOLIÈRE, RUE",23,IMMEUBLE,1,PARIS,48.86546,2.33637,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",,,NON,PRIVÉE,FAÇADE,EXTÉRIEUR_SUR_RUE,FERRONNERIE,,,,1999-01000-0000013,B402,28/09/2019
68,"BOURDONNAIS, RUE DES",34,HÔTEL_DE_VILLEROY,1,PARIS,48.860213,2.345386,TIRAGE PAPIER,COULEUR,10x15 cm,2000,"BOUTET, MARGUERITE",XVIIè,,OUI,HÔTEL_PARTICULIER,PASSAGE,FONTAINE,,,,,2000-01000-0000030,B402,28/09/2019
70,"RICHELIEU, RUE DE",35,IMMEUBLE,1,PARIS,48.86538,2.33663,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",1850,,NON,PRIVÉE,FAÇADE,EXTÉRIEUR_SUR_RUE,,,,,1999-01000-000017,B402,28/09/2019
71,"RICHELIEU, RUE DE",22,IMMEUBLE,1,PARIS,48.86485,2.3365,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",XVIIè,,NON,PRIVÉE,FAÇADE,EXTÉRIEUR_SUR_RUE,,,,,1999-01000-0000116,B402,28/09/2019
72,"MONTPENSIER, RUE DE",8,IMMEUBLE,1,PARIS,48.86401,2.33608,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",,,OUI,PRIVÉE,FAÇADE,EXTÉRIEUR_SUR_RUE,,,,,1999-01000-0000115,B402,28/09/2019
73,"RICHELIEU, PASSAGE DE",,"RICHELIEU, PASSAGE DE",1,PARIS,48.86464,2.33667,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",1787,,OUI,PRIVÉE,PASSAGE,ESCALIER,,,,,1999-01000-0000114,B402,28/09/2019
74,"MONTPENSIER, RUE DE",6,PONT_ROYAL,1,PARIS,48.86371,2.33594,TIRAGE PAPIER,COULEUR,10x15 cm,1999/10/29,"LEFEVRE, PHILIPPE",,,OUI,VOIRIES_ESPACES_LIBRES,FAÇADE,PASSAGE,EXTÉRIEUR_SUR_RUE,,,,,B402,28/09/2019
75,"THÉRÈSE, RUE",4,IMMEUBLE,1,PARIS,48.86583,2.33632,TIRAGE PAPIER,COULEUR,10x15 cm,1999/10/29,"LEFEVRE, PHILIPPE",XVIIè,,NON,PRIVÉE,EXTÉRIEUR_SUR_RUE,COUR,FAÇADE,,,,1999-01000-0000112,B402,28/09/2019
76,"THÉRÈSE, RUE",1,IMMEUBLE,1,PARIS,48.86569,2.33643,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",XIXè,,OUI,PRIVÉE,FAÇADE,PORTAIL,EXTÉRIEUR_SUR_RUE,,,,1999-01000-0000111,B402,28/09/2019
77,"THÉRÈSE, RUE",2,IMMEUBLE,1,PARIS,48.86576,2.33645,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",,,NON,PRIVÉE,FAÇADE,PORTE,EXTÉRIEUR_SUR_RUE,,,,1999-01000-0000110,B402,28/09/2019
78,"VILLEDO, RUE",2,IMMEUBLE,1,PARIS,48.86576,2.33645,TIRAGE PAPIER,COULEUR,10x15 cm,1999/10/29,"LEFEVRE, PHILIPPE",,,NON,PRIVÉE,FAÇADE,EXTÉRIEUR_SUR_RUE,,,,,1999-01000-0000109,B402,28/09/2019
79,"SAINT-DENIS, RUE",27,IMMEUBLE,1,PARIS,48.85968,2.34791,TIRAGE PAPIER,COULEUR,15x10 cm,1999,"SOURAC, JEANINE",,,NON,PRIVÉE,VUE_ENSEMBLE,CHANTIER,FAÇADE,,,,,B402,28/09/2019
80,"VILLEDO, RUE",4,IMMEUBLE,1,PARIS,48.86624,2.33643,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",XIXè,,NON,PRIVÉE,FAÇADE,EXTÉRIEUR_SUR_RUE,,,,,1999-01000-0000107,B402,28/09/2019
81,"MOLIÈRE, RUE",37,FONTAINE_MOLIÈRE,1,PARIS,48.86555,2.33665,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",1840,,NON,COMMÉMORATIVE_VOTIVE_FUNÉRAIRE,STATUE,FONTAINE,ART,,,,,B402,28/09/2019
82,"PETITS CHAMPS, RUE DES",35,IMMEUBLE,1,PARIS,48.8668,2.3365,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",XVIIIè,,NON,PRIVÉE,FAÇADE,PORTAIL,EXTÉRIEUR_SUR_RUE,,,,,B402,28/09/2019
83,"MONTPENSIER, RUE DE",2,COLONNES_DE_BUREN,1,PARIS,48.86352,2.33583,TIRAGE PAPIER,COULEUR,10x15 cm,1999/10/29,"LEFEVRE, PHILIPPE",1986,Daniel Buren,NON,PRIVÉE,ART,COUR,ARCHITECTURE,,,,,B402,28/09/2019
84,"ORLÉANS, GALERIE D'",,PALAIS_ROYAL,1,PARIS,48.86381,2.33715,TIRAGE PAPIER,COULEUR,10x15 cm,1999/10/29,"LEFEVRE, PHILIPPE",1829,,NON,PRIVÉE,ART,FONTAINE,ARCHITECTURE,,,,,B402,28/09/2019
85,"ORLÉANS, GALERIE D'",,PALAIS_ROYAL,1,PARIS,48.86381,2.33715,TIRAGE PAPIER,COULEUR,10x15 cm,1999/10/29,"LEFEVRE, PHILIPPE",1829,,NON,PRIVÉE,ART,ARCHITECTURE,COLONNE,,,,,B402,28/09/2019
86,"SAINT-HONORÉ, RUE",166,RESTAURANT,1,PARIS,48.86221,2.33947,TIRAGE PAPIER,COULEUR,13x18 cm,2000/09/28,INCONNU,XVIIè,,NON,PRIVÉE,RESTAURANT,FAÇADE,EXTÉRIEUR_SUR_RUE,,,,2017-01000-0003527,B402,28/09/2019
87,"PIERRE LESCOT, RUE",6,IMMEUBLE,1,PARIS,48.86139,2.34805,TIRAGE PAPIER,COULEUR,13x18 cm,2000/06,INCONNU,XIXè,,NON,PRIVÉE,FAÇADE,MANSARDE,EXTÉRIEUR_SUR_RUE,,,,,B402,28/09/2019
88,"VIARMES, RUE DE",2,BOURSE_DU_COMMERCE,1,PARIS,48.86312,2.34219,TIRAGE PAPIER,N&B,15x10 cm,2003/03,"BURET, COLETTE",1885,,OUI,PUBLIQUE,COUPOLE,PLACE,,,,,2003-01000-0001190,B402,28/09/2019
89,"NEUF, PONT",,"NEUF, PONT",1,PARIS,48.85776,2.34171,TIRAGE PAPIER,COULEUR,10x15 cm,1999/03/12,INCONNU,1578-1607,,OUI,VOIRIES_ESPACES_LIBRES,PONT,CRUE,SEINE,,,,,B402,28/09/2019
90,"NEUF, PONT",,"NEUF, PONT",1,PARIS,48.85776,2.34171,TIRAGE PAPIER,COULEUR,10x10 cm,1985/09,INCONNU,1985,Christo et Jeanne-Claude,OUI,VOIRIES_ESPACES_LIBRES,PONT,ART,,,,,1985-01000-0000275,B402,28/09/2019
91,"NEUF, PONT",,"NEUF, PONT",1,PARIS,48.85776,2.34171,TIRAGE PAPIER,COULEUR,10x10 cm,1985/09,INCONNU,1985,Christo et Jeanne-Claude,OUI,VOIRIES_ESPACES_LIBRES,PONT,ART,SEINE,,,,1985-01000-0000276,B402,28/09/2019
92,"NEUF, PONT",,"NEUF, PONT",1,PARIS,48.85776,2.34171,TIRAGE PAPIER,COULEUR,10x15 cm,1985/09,INCONNU,1985,Christo et Jeanne-Claude,OUI,VOIRIES_ESPACES_LIBRES,PONT,ART,,,,,1985-01000-0000274,B402,28/09/2019
93,"NEUF, PONT",,"NEUF, PONT",1,PARIS,48.85776,2.34171,TIRAGE PAPIER,COULEUR,10x15 cm,1985/09,INCONNU,1985,Christo et Jeanne-Claude,OUI,VOIRIES_ESPACES_LIBRES,PONT,ART,SEINE,STATUE,,,1985-01000-0000273,B402,28/09/2019
94,"NEUF, PONT",,"NEUF, PONT",1,PARIS,48.85776,2.34171,TIRAGE PAPIER,COULEUR,10x15 cm,1985/09,INCONNU,1985,Christo et Jeanne-Claude,OUI,VOIRIES_ESPACES_LIBRES,PONT,ART,SEINE,,,,1985-01000-0000272,B402,28/09/2019
95,"PETITS CHAMPS, RUE DES",33,IMMEUBLE,1,PARIS,48.86675,2.33666,TIRAGE PAPIER,COULEUR,15x10 cm,1999/10/29,"LEFEVRE, PHILIPPE",XVIIè,,NON,PRIVÉE,RESTAURANT,EXTÉRIEUR_SUR_RUE,FAÇADE,PORTAIL,,,,B402,22/09/2019
96,"MONTPENSIER, RUE DE",,JARDIN_DU_PALAIS_ROYAL,1,PARIS,48.86415,2.33645,TIRAGE PAPIER,COULEUR,10x15 cm,1999/10/29,"LEFEVRE, PHILIPPE",1633,,OUI,PRIVÉE,JARDIN,STATUE,ART,,,,,B402,22/09/2019
97,"PONT NEUF, PLACE DU",,PONT_NEUF,1,PARIS,48.85708,2.34113,TIRAGE PAPIER,COULEUR,13x19 cm,2000,INCONNU,1578-1607,,OUI,VOIRIES_ESPACES_LIBRES,PONT,AVANT_RESTAURATION,MASCARONS,ARCHITECTURE,,,,B402,22/09/2019
